Time	Iteration	NumSamples	NumberOfRollouts	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
933.308089017868	65	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	137379	7142	1000.0	0.002541313404869817	0.1182881	541.9296	0.9975502823874174	0.9990469660378561
944.6501705646515	66	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	139379	7144	1000.0	0.0025503034672779675	0.11826365	1131.074	0.9975942397505856	0.9992543597532113
955.1710302829742	67	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	141379	7146	1000.0	0.0025597908170941655	0.11825764	601.7112	0.9984933502702067	0.9994763816889822
969.5599558353424	68	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	143379	7148	1000.0	0.0025672693837143234	0.11825694	2093.1892	0.9987197886295376	0.9995912942647421
982.2702062129974	69	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	145379	7150	1000.0	0.002575902171059148	0.11825054	912.10596	0.999084339662297	0.999728213958126
996.3429746627808	70	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	147379	7152	1000.0	0.0025826099429852286	0.11824896	1861.2738	0.9992484243412105	0.9996727977001502
1010.8221590518951	71	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	149379	7154	1000.0	0.0025910238671821937	0.11824975	1228.8866	0.9992180831144699	0.9998387069688154
1023.212432384491	72	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	151379	7156	1000.0	0.0025971983737074246	0.11825009	2103.4753	0.999312927905725	0.9998423410870662
1037.8757009506226	73	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	153379	7158	1000.0	0.0026057293282756144	0.11825187	927.739	0.9994306637164956	0.9997411105109096
1051.7361028194427	74	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	155379	7160	1000.0	0.002613518529876685	0.11824817	1475.0869	0.9993817115595081	0.9998048744235952
1062.5738246440887	75	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	157379	7162	1000.0	0.002621758176572309	0.11824406	1031.429	0.9996052055717964	0.9998832764553536
1076.0160460472107	76	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	159379	7164	1000.0	0.00263018336073509	0.11822897	681.85	0.9996525491197691	0.9999150591536112
1091.4678256511688	77	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	161379	7166	1000.0	0.002638381575774362	0.11821076	977.93555	0.9997027778600203	0.9999106057857122
1104.1725018024445	78	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	163379	7168	1000.0	0.00264695559313559	0.118192814	400.13995	0.9996605124287155	0.9999043444370587
1117.2536466121674	79	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	165379	7170	1000.0	0.0026554165863050907	0.118171826	512.0955	0.9997509913922494	0.9999137748924681
1132.196545124054	80	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	167379	7172	1000.0	0.002663761415162272	0.118153624	574.24274	0.999758349181738	0.9999240328740837
1144.927885055542	81	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	169379	7174	1000.0	0.0026720575340434954	0.11813673	491.9225	0.9997539449167844	0.9999149621732558
1159.0390210151672	82	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	171379	7176	1000.0	0.0026802612273155654	0.11811591	458.66864	0.999790111810612	0.9999072844615188
1170.5939588546753	83	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	173379	7178	1000.0	0.002688194316546202	0.11809029	647.7587	0.9998419459532262	0.9999350927348954
1184.462257385254	84	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	175379	7180	1000.0	0.0026961818270531995	0.11806276	499.29584	0.9998016527496169	0.9999609812389465
1197.2700884342194	85	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	177379	7182	1000.0	0.0027039250730215725	0.11803247	639.90765	0.9998409079409784	0.9999445828279729
1211.1287083625793	86	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	179379	7184	1000.0	0.002711263733695122	0.1180027	1008.7191	0.9998375836359413	0.9999711770569552
1224.907517671585	87	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	181379	7186	1000.0	0.0027192198839634655	0.11797367	276.61014	0.9998936249299969	0.9999651125465129
1238.3100681304932	88	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	183379	7188	1000.0	0.00272711732347017	0.117942624	321.0704	0.9998622248349895	0.9999582578032049
1250.3497865200043	89	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	185379	7190	1000.0	0.002734953934872407	0.11791316	303.46457	0.9998884765656255	0.9999689090204728
1263.208463191986	90	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	187379	7192	1000.0	0.0027427257460907913	0.11788687	346.89844	0.9998940966872927	0.999974882754915
1276.7874872684479	91	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	189379	7194	1000.0	0.0027504894440902247	0.11786189	129.5021	0.9999288028462465	0.9999789941183072
1290.7289259433746	92	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	191379	7196	1000.0	0.0027581829897178394	0.11783882	171.58453	0.9999038766292212	0.9999814911154457
1303.0554196834564	93	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	193379	7198	1000.0	0.002765781722865599	0.117818564	290.72626	0.9999366536614077	0.9999828175756741
1315.8728485107422	94	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	195379	7200	1000.0	0.002773353429312284	0.11780851	214.52667	0.9999056466480527	0.9999798483271555
1326.955399274826	95	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	197379	7202	1000.0	0.0027807854581757326	0.11780149	427.55368	0.9999495933174717	0.9999838085689043
1337.4108288288116	96	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	199379	7204	1000.0	0.0027882360739444156	0.11779708	228.0803	0.9999152543552619	0.9999829727397219
1347.098777770996	97	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	201379	7206	1000.0	0.002795620819696705	0.11779452	321.72195	0.9999374550979029	0.9999822493884521
1355.5954267978668	98	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	203379	7208	1000.0	0.0028029829253961563	0.117792055	200.67012	0.9999266638723994	0.9999807498179504
1364.4056951999664	99	2000	2	1000.0	0.0	1000.0	1000.0	1000.0	0.0	205379	7210	1000.0	0.0028102429100284885	0.11779082	343.90616	0.9999273290625704	0.9999843579517502
